month,Apple_units,Samsung_units,Google_units,Motorola_units,cpi_index,month_num,year,quarter,is_holiday_season,is_back_to_school,is_black_friday,is_new_year_promo,launch_apple,launch_samsung,launch_google,launch_motorola
2025-01-01,805347.4795731626,338659.1003967259,116145.6019594286,21478.13956766545,162.6,1,2025,1,0,0,0,1,0,1,0,0
2025-02-01,451388.3306949943,174926.70914547256,67077.18105051314,11116.012576273493,163.6,2,2025,1,0,0,0,0,0,0,0,0
2025-03-01,502901.65340823913,193452.45132053617,66909.19208757568,11569.655325878028,163.5,3,2025,1,0,0,0,0,1,0,0,0
2025-04-01,499025.26733100566,217065.98543699176,71519.957451746,11994.899794081923,163.1,4,2025,2,0,0,0,0,0,0,1,0
2025-05-01,364333.9030367694,148086.61826946115,49262.21266313274,8223.08306905207,163.5,5,2025,2,0,0,0,0,0,0,0,0
2025-06-01,555499.3001699771,221832.42967242305,60540.90884121374,13318.187162829077,163.8,6,2025,2,0,0,0,0,0,0,0,1
2025-07-01,672393.0210658233,276866.51312832197,75451.59671197756,19927.615589221205,164.0,7,2025,3,0,0,0,0,0,1,0,0
2025-08-01,598657.6946404154,274578.2664700163,177985.5583201202,14459.6032151015,164.3,8,2025,3,0,1,0,0,0,0,1,0
2025-09-01,725121.2555851295,198789.0444292267,93982.19087165999,16131.113575105368,165.0,9,2025,3,0,0,0,0,1,0,0,0
2025-10-01,725116.6817274456,251972.20615393703,132732.31831295768,21079.802298086364,165.2,10,2025,4,0,0,0,0,0,0,1,0
2025-11-01,1259613.2099236145,554955.3222288531,171330.12721550622,34749.68147053,165.6,11,2025,4,1,0,1,0,0,0,0,0
